Round,Client_ID,Type,Score,Status,full_l2,full_l2_median,full_l2_threshold,full_var,full_var_median,full_var_threshold,full_dist,full_dist_median,full_dist_threshold,layer_fc.weight_l2,layer_fc.weight_l2_median,layer_fc.weight_l2_threshold,layer_fc.weight_var,layer_fc.weight_var_median,layer_fc.weight_var_threshold,layer_fc.weight_dist,layer_fc.weight_dist_median,layer_fc.weight_dist_threshold
1,0,Malicious,0.0100,SUSPECT(full:Dist),90.0807,87.7529,95.7000,7.9123,7.5261,8.8558,0.6124,0.4830,0.6059,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,1,Benign,1.4719,NORMAL,92.8595,87.7529,95.7000,8.4164,7.5261,8.8558,0.4702,0.4830,0.6059,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2,Benign,24.0851,NORMAL,89.0915,87.7529,95.7000,7.7455,7.5261,8.8558,0.4573,0.4830,0.6059,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,3,Malicious,1.3503,NORMAL,83.7681,87.7529,95.7000,6.8489,7.5261,8.8558,0.5822,0.4830,0.6059,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,4,Benign,7.0097,NORMAL,85.0049,87.7529,95.7000,7.0588,7.5261,8.8558,0.4862,0.4830,0.6059,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,5,Benign,6.7520,NORMAL,90.4720,87.7529,95.7000,8.0008,7.5261,8.8558,0.4694,0.4830,0.6059,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,6,Benign,0.0100,SUSPECT(full:Dist),87.8749,87.7529,95.7000,7.5462,7.5261,8.8558,0.6498,0.4830,0.6059,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,7,Malicious,0.0100,SUSPECT(full:Dist),87.4747,87.7529,95.7000,7.4797,7.5261,8.8558,0.6085,0.4830,0.6059,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,8,Malicious,0.0100,SUSPECT(full:Dist),92.6356,87.7529,95.7000,8.3866,7.5261,8.8558,0.6641,0.4830,0.6059,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,9,Benign,10.2695,NORMAL,87.2165,87.7529,95.7000,7.4261,7.5261,8.8558,0.4413,0.4830,0.6059,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
