Round,Client_ID,Score,Status
1,0,Client,1.0000,SUSPECT(full:Dist)
1,1,Client,1.0000,"SUSPECT(full:L2-Hi,full:Var-Hi)"
1,2,Client,2.2621,NORMAL
1,3,Client,1.0000,"SUSPECT(full:L2-Hi,full:Var-Hi,full:Dist)"
1,4,Client,1.2346,NORMAL
1,5,Client,2.1688,NORMAL
1,6,Client,1.0000,SUSPECT(full:Dist)
1,7,Client,1.0000,SUSPECT(full:Dist)
1,8,Client,1.0000,SUSPECT(full:Dist)
1,9,Client,2.3783,NORMAL
1,10,Client,4.0894,NORMAL
1,11,Client,1.0563,NORMAL
1,12,Client,1.1239,NORMAL
1,13,Client,1.2458,NORMAL
1,14,Client,7.6576,NORMAL
1,15,Client,1.0000,"SUSPECT(full:L2-Hi,full:Var-Hi)"
1,16,Client,2.5443,NORMAL
1,17,Client,3.3981,NORMAL
1,18,Client,1.9777,NORMAL
1,19,Client,1.6205,NORMAL
2,0,Client,1.0000,SUSPECT(full:Dist)
2,1,Client,2.1105,NORMAL
2,2,Client,1.0000,SUSPECT(full:Dist)
2,3,Client,1.0000,SUSPECT(full:Dist)
2,4,Client,1.1988,NORMAL
2,5,Client,1.0269,NORMAL
2,6,Client,1.0000,"SUSPECT(full:L2-Lo,full:Var-Lo)"
2,7,Client,1.0000,SUSPECT(full:Dist)
2,8,Client,1.0000,SUSPECT(full:Dist)
2,9,Client,3.8389,NORMAL
2,10,Client,3.3576,NORMAL
2,11,Client,1.1901,NORMAL
2,12,Client,1.0000,"SUSPECT(full:L2-Hi,full:Var-Hi,full:Dist)"
2,13,Client,5.5038,NORMAL
2,14,Client,1.0756,NORMAL
2,15,Client,4.9142,NORMAL
2,16,Client,1.0000,SUSPECT(full:Dist)
2,17,Client,3.6989,NORMAL
2,18,Client,1.0555,NORMAL
2,19,Client,1.3606,NORMAL
3,0,Client,0.0000,KICKED
3,1,Client,3.1380,NORMAL
3,2,Client,1.0000,SUSPECT(full:Dist)
3,3,Client,0.0000,KICKED
3,4,Client,2.6653,NORMAL
3,5,Client,1.0305,NORMAL
3,6,Client,1.5765,NORMAL
3,7,Client,0.0000,KICKED
3,8,Client,0.0000,KICKED
3,9,Client,3.2663,NORMAL
3,10,Client,2.0946,NORMAL
3,11,Client,1.2125,NORMAL
3,12,Client,2.4062,NORMAL
3,13,Client,1.9211,NORMAL
3,14,Client,1.0000,SUSPECT(full:Dist)
3,15,Client,6.0632,NORMAL
3,16,Client,1.5735,NORMAL
3,17,Client,3.9186,NORMAL
3,18,Client,2.2881,NORMAL
3,19,Client,2.1000,NORMAL
